Restaurant_ID,Google_Maps_URL,Restaurant_Name,Rating,Reviews,Price_Range,Category,Address,Status,Opening_Hours,Popularity
R0106,https://www.google.com/maps/place/Shabbir+Foods/data=!4m7!3m6!1s0x394c70da8e6b8489:0x37e959f79b465ffe!8m2!3d25.4084113!4d68.3720792!16s%2Fg%2F11c547k79k!19sChIJiYRrjtpwTDkR_l9Gm_dZ6Tc?authuser=0&hl=en&rclk=1,Shabbir Foods,3.8,85,,Restaurant,C95C+9R8 ,Open 24 hours,,Normal
R0107,https://www.google.com/maps/place/Shama+Tikka/data=!4m7!3m6!1s0x394c70609b226ca3:0xeb5adac9c26260d5!8m2!3d25.3696875!4d68.3571875!16s%2Fg%2F1tmqprwq!19sChIJo2wim2BwTDkR1WBiwsnaWus?authuser=0&hl=en&rclk=1,Shama Tikka,4.0,1582,"Rs 1–1,000",Barbecue,7 Near PTCL offcie ,Opens soon, 6:30 PM,Popular
R0108,https://www.google.com/maps/place/Chaaye+Paani/data=!4m7!3m6!1s0x394c7091e876e91b:0x3c1e961a96c016ca!8m2!3d25.3841542!4d68.350385!16s%2Fg%2F11byxg86ms!19sChIJG-l26JFwTDkRyhbAlhqWHjw?authuser=0&hl=en&rclk=1,Chaaye Paani,3.9,466,"Rs 1–1,000",Cafe,"Shop No C -20, Defence Plaza, 22 Thandi Sarak ",Open 24 hours,,Normal
R0109,https://www.google.com/maps/place/Gymkhana+Restaurant/data=!4m7!3m6!1s0x394c719ffed6e197:0xe5809f7a9e486d28!8m2!3d25.3844375!4d68.3596875!16s%2Fg%2F11tx2y4mvf!19sChIJl-HW_p9xTDkRKG1InnqfgOU?authuser=0&hl=en&rclk=1,Gymkhana Restaurant,4.3,88,,Social club, Gymkhana Library,,,Normal
R0110,https://www.google.com/maps/place/Sindh+Abad/data=!4m7!3m6!1s0x394c71f59764e95b:0x991fb92f64594244!8m2!3d25.3790701!4d68.334695!16s%2Fg%2F11sd012vbt!19sChIJW-lkl_VxTDkRREJZZC-5H5k?authuser=0&hl=en&rclk=1,Sindh Abad,4.5,6,,Restaurant,Complex ,Open 24 hours,,Normal
R0111,https://www.google.com/maps/place/Liberty+Chicken+Broast/data=!4m7!3m6!1s0x394c70c2f6af9dff:0xa7d5b415fdea92d!8m2!3d25.3991704!4d68.3670218!16s%2Fg%2F11cm0dz7p7!19sChIJ_52v9sJwTDkRLaneX0FbfQo?authuser=0&hl=en&rclk=1,Liberty Chicken Broast,3.7,237,,Fast Food,Sarfaraz Incline ,Open, Closes 3 AM,Normal
R0112,https://www.google.com/maps/place/White+House+Pizza+Point/data=!4m7!3m6!1s0x394c71604e9f5c03:0x22b047bac11b0c82!8m2!3d25.4066935!4d68.3667586!16s%2Fg%2F11sn_29wx9!19sChIJA1yfTmBxTDkRggwbwbpHsCI?authuser=0&hl=en&rclk=1,White House Pizza Point,3.9,51,,Pizza,"Maalee Jee Skin Center, Bhurgari Rd ",Open, Closes 1:30 AM,Normal
R0113,https://www.google.com/maps/place/Indus+Fish+Point+Hyderabad/data=!4m7!3m6!1s0x394c7086a7d24c95:0x717eb8beaac79433!8m2!3d25.3780362!4d68.3329312!16s%2Fg%2F11bw47l59g!19sChIJlUzSp4ZwTDkRM5THqr64fnE?authuser=0&hl=en&rclk=1,Indus Fish Point Hyderabad,4.0,107,,Restaurant,"98HM+657, Auto Bahn Rd ",Open, Closes 1 AM,Normal
R0114,https://www.google.com/maps/place/Dipsy+Bite/data=!4m7!3m6!1s0x394c71d4d3033b13:0x7b78801032ae3d1b!8m2!3d25.3705602!4d68.3573661!16s%2Fg%2F11g2q0vt2k!19sChIJEzsD09RxTDkRGz2uMhCAeHs?authuser=0&hl=en&rclk=1,Dipsy Bite,3.7,83,,Restaurant,99C4+6WH ,Open 24 hours,,Normal
R0115,https://www.google.com/maps/place/Desi+Station/data=!4m7!3m6!1s0x394c7091d11e8c5b:0x6698407f8717b9af!8m2!3d25.3838949!4d68.3494626!16s%2Fg%2F11dxnlkf57!19sChIJW4we0ZFwTDkRr7kXh39AmGY?authuser=0&hl=en&rclk=1,Desi Station,4.4,5,,Restaurant,"A, Defence Plaza Thandi Sarak ",Open, Closes 1:30 AM,Normal
R0116,https://www.google.com/maps/place/The+Kabab+Inn/data=!4m7!3m6!1s0x394c70ee97aaee1f:0x6c449390f1061c37!8m2!3d25.3898647!4d68.3645692!16s%2Fg%2F11c2khj6s5!19sChIJH-6ql-5wTDkRNxwG8ZCTRGw?authuser=0&hl=en&rclk=1,The Kabab Inn,4.0,96,"Rs 1–1,000",Barbecue,"Shop # 4, Al-Rayan Arcade ",Open, Closes 3 AM,Normal
R0117,https://www.google.com/maps/place/Subhanallah+Biryani/data=!4m7!3m6!1s0x394c71fb504923fb:0xc6a22d8079dc2b37!8m2!3d25.4040771!4d68.3701073!16s%2Fg%2F11gytk0kwv!19sChIJ-yNJUPtxTDkRNyvceYAtosY?authuser=0&hl=en&rclk=1,Subhanallah Biryani,4.0,460,"Rs 1–1,000",Biryani,"C93C+J2Q phone number galat hai, Unnamed Road ",Closed, Opens 5:30 AM Mon,Normal
R0118,https://www.google.com/maps/place/The+Pizza+house/data=!4m7!3m6!1s0x394c71e5b557294b:0xb796d698137e4d39!8m2!3d25.3840373!4d68.3518958!16s%2Fg%2F11q21kczv1!19sChIJSylXteVxTDkROU1-E5jWlrc?authuser=0&hl=en&rclk=1,The Pizza house,3.8,80,"Rs 1,000–2,000",Restaurant,defence ,Open 24 hours,,Normal
R0119,https://www.google.com/maps/place/Haji+Midda+Nihari+House/data=!4m7!3m6!1s0x394c70db452997a5:0x7acd2433a57892c0!8m2!3d25.4042839!4d68.3706284!16s%2Fg%2F11xtgwfld!19sChIJpZcpRdtwTDkRwJJ4pTMkzXo?authuser=0&hl=en&rclk=1,Haji Midda Nihari House,3.7,16,,Pakistani,"C93C+P76, Govt College Rd, Hirabad, Hyderabad, Sindh ",Open, Closes 12 AM,Normal
